"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 23:19:48 GMT 2024","Wed Sep 18 23:19:49 GMT 2024","1160","","Remove elements from the shopping cart","","Remove all items from the cart","","Remove all items from the cart",""
"passed","Wed Sep 18 23:19:39 GMT 2024","Wed Sep 18 23:19:46 GMT 2024","7236","","Logout from the application","","Successfully logout and redirect to login page","","Successfully logout and redirect to login page",""
"passed","Wed Sep 18 23:19:46 GMT 2024","Wed Sep 18 23:19:48 GMT 2024","1363","","Purchase a product","","Purchase a single product","","Purchase a single product",""
