"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 23:00:37 GMT 2024","Wed Sep 18 23:00:39 GMT 2024","2000","","Logout from the application","","Successfully logout and redirect to login page","","Successfully logout and redirect to login page",""
"passed","Wed Sep 18 23:00:39 GMT 2024","Wed Sep 18 23:00:40 GMT 2024","1271","","Purchase a product","","Purchase a single product","","Purchase a single product",""
"passed","Wed Sep 18 23:00:40 GMT 2024","Wed Sep 18 23:00:41 GMT 2024","1052","","Remove elements from the shopping cart","","Remove all items from the cart","","Remove all items from the cart",""
